ID	Name	Hint
1	Iban	at Iban's lair in the Underground Pass.
2	Autumn Voyage	at Lumbridge farm.
3	Unknown Land	at Draynor Market.
4	Hell's Bells	not unlockable!
4	Hell's Bells	during the Troll Romance quest.
5	Sad Meadow	at West Ardougne.
6	Jolly-R	at the north dock of Brimhaven.
7	Overture	at Seers' Village.
8	Wildwood	to the west of Stealing Creation in the Wilderness.
9	Kingdom	on the way to Death Plateau.
10	Moody	at the entrance to the Underground Pass.
11	Spooky2	at the entrance to the Haunted Mine.
12	Long Way Home	at Rimmington.
13	Mage Arena	at the Mage Arena.
14	Witching	on the east side of the Wilderness.
15	Workshop	at the Mining Guild in Falador.
16	Scape Main	automatically.
17	Escape	at the perfect gold mine under Ardougne.
18	Horizon	in Taverley.
19	Arabique	at the hellhounds in Taverley Dungeon.
20	Lullaby	at the area south-west of Rellekka.
21	Monarch Waltz	at the Sinclair Mansion.
22	Gnome King	at the Tree Gnome Stronghold.
23	Fe Fi Fo Fum	during Grim Tales.
24	Attack1	at the Battlefield north of Tree Gnome Village.
24	 	not unlockable!
25	Attack2	at Elvarg's lair or during Grand Tree Quest.
26	Attack3	to the north of the Lava Maze.
27	Attack4	at the Fight Arena.
28	Attack5	at the King Black Dragon.
29	Attack6	at Gu'Tanoth Ogre Enclave.
30	Voodoo Cult	at the cave under the Kharazi Jungle.
32	Voyage	at the top of Baxtorian Falls.
33	Gnome Village	at the Tree Gnome Stronghold's Agility Training Area.
33	 	not unlockable!
34	Wonder	to the north-west of the Black Knights' Fortress.
35	Sea Shanty2	at Port Sarim.
36	Arabian	in the Kharidian Desert.
37	Deep Wildy	in the north-west of the Wilderness.
38	Trawler	during Fishing Trawler.
39	 	not unlockable!
40	 	not unlockable!
41	Expecting	at the unholy altar north of the Observatory.
42	Wilderness2	to the south of the Lava Maze in the Wilderness.
43	Wilderness3	at the Forgotten Cemetery in the Wilderness.
44	Right on Track	during Forgettable Tale...
45	Venture2	during Dig Site.
46	Harmony2	in Lumbridge Castle's basement.
47	Duel Arena	at the Duel Arena.
48	Morytania	to the east of Paterdomus.
49	Wander	at the farm area south of Falador.
50	Al Kharid	at Al Kharid.
51	Trawler Minor	during Fishing Trawler.
52	Serene	at the Air Altar.
53	Royale	at the Black Knight base in Taverley Dungeon.
54	Scape Soft	to the north of Falador.
55	High Seas	at Brimhaven.
56	Doorways	to the north of the Grand Exchange.
57	Rune Essence	at the rune essence mine.
58	Nomad	to the east of the Bedabin Camp.
59	Cursed	during Underground Pass.
60	Lasting	at Hemenster.
61	Village	at Canifis in Morytania.
62	Newbie Melody	automatically.
63	Chain of Command	during Temple of Ikov.
64	Book of Spells	at Lumbridge Swamp.
65	Miracle Dance	at the Mind Altar.
66	Legion	at the Barbarian Outpost.
67	Close Quarters	to the west of the Dark Warriors' Fortress in the Wilderness.
68	Cavern	at Yanille Agility Dungeon.
69	Egypt	at Shantay Pass.
70	Upcoming	at the tower of the Necromancer.
71	Chompy Hunt	at the chompy hunt area near Rantz the ogre.
72	Fanfare	at Falador Castle.
73	All's Fairy in Love and War	at the fairy resistance hideout in Fairy Tale Part II.
74	Lightwalk	at Keep Le Faye.
75	Venture	at the Dig Site.
76	Harmony	at Lumbridge Castle.
77	Splendour	at the Heroes' Guild.
78	Reggae	to the south-east of the Kharazi Jungle.
79	 	not unlockable!
79	The Desert	to the west of the Kharidian Desert.
80	Soundscape	at the Feldip Hills glider area.
81	Wonderous	near the Legends' Guild.
82	Waterfall	at Baxtorian Falls.
83	Big Chords	to the west of Yanille.
84	Dead Quiet	to the north of the Mort Myre area.
85	Vision	at the Wizards' Tower.
86	Dimension X	on the gorak plane in Fairy Tale Part II.
87	Ice Melody	at White Wolf Mountain.
88	Twilight	during Elemental Workshop.
89	Reggae2	to the east of Karamja Jungle.
90	Ambient Jungle	at Shilo Village.
91	Riverside	to the west of Tyras Camp.
92	Sea Shanty	at Karamja port.
93	Parade	at the Jolly Boar Inn.
94	Tribal2	at the gnome glider on Karamja.
95	Intrepid	in the Underground Pass caverns.
96	Inspiration	at the area north of the Black Knights' Fortress.
97	Hermit	at the hermit's cave north-west of Burthorpe.
98	Forever	at Edgeville.
99	Baroque	in Ardougne.
100	Beyond	in the Dwarven tunnel under Wolf Mountain.
101	Gnome Village2	to the south-west of the Tree Gnome Stronghold.
102	Alone	at the Ice Mountain and Monastery north of Falador.
103	Oriental	in the Waterfall Dungeon, East of Shilo Village.
104	Camelot	at Camelot Castle.
105	Tomorrow	at the coastline south of Port Sarim.
106	Expanse	at the stone circle in Varrock.
107	Miles Away	at the Crafting Guild.
108	Starlight	at the Asgarnian Ice Dungeon north of Mudskipper Point.
109	Theme	at the Coal Trucks.
110	Serenade	at the Observatory.
111	Still Night	at the Mining area south-east of Varrock.
112	Gnomeball	at the Gnome Ball Field.
113	Lightness	to the north of Edgeville.
114	Jungly1	at Cairn Isle.
115	Jungly2	to the north-west of Brimhaven.
116	Greatness	at the Champions' Guild.
117	Jungly3	at Tai Bwo Wannai Village.
118	Faerie	at Zanaris.
119	Fishing	at Catherby beach.
120	Shining	in the Wilderness north of the Graveyard.
121	Forbidden	to the north of the Lumber Yard.
122	Shine	at the Duel Arena hospital.
123	Arabian2	at Al Kharid mine.
124	Arabian3	at the desert entrance to the Kalphite Lair.
